schedule_id,template_id,row_id,row_index,name,surname,surname_rank,surname_population,surname_hanja_variants,birth_year,gender,group,day,date,canonical_code,display_code,bbox_px,name_bbox_px,excel_cell,image_path
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,1,2026-02-01,N12,N12,"[150, 96, 177, 121]","[60, 96, 150, 121]",C4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,2,2026-02-02,대기,대기,"[177, 96, 204, 121]","[60, 96, 150, 121]",D4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,3,2026-02-03,XA,xa,"[204, 96, 231, 121]","[60, 96, 150, 121]",E4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,4,2026-02-04,P,p,"[231, 96, 258, 121]","[60, 96, 150, 121]",F4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,5,2026-02-05,NB,NB,"[258, 96, 285, 121]","[60, 96, 150, 121]",G4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,6,2026-02-06,RD,RD,"[285, 96, 312, 121]","[60, 96, 150, 121]",H4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,7,2026-02-07,P,p,"[312, 96, 339, 121]","[60, 96, 150, 121]",I4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,8,2026-02-08,N,n,"[339, 96, 366, 121]","[60, 96, 150, 121]",J4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,9,2026-02-09,N,N,"[366, 96, 393, 121]","[60, 96, 150, 121]",K4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,10,2026-02-10,CONF,conf,"[393, 96, 420, 121]","[60, 96, 150, 121]",L4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,11,2026-02-11,D,D,"[420, 96, 447, 121]","[60, 96, 150, 121]",M4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,12,2026-02-12,E,E,"[447, 96, 474, 121]","[60, 96, 150, 121]",N4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,13,2026-02-13,ADO,ADO,"[474, 96, 501, 121]","[60, 96, 150, 121]",O4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,14,2026-02-14,E,E,"[501, 96, 528, 121]","[60, 96, 150, 121]",P4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,15,2026-02-15,비번,비번,"[528, 96, 555, 121]","[60, 96, 150, 121]",Q4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,16,2026-02-16,D5,d5,"[555, 96, 582, 121]","[60, 96, 150, 121]",R4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,17,2026-02-17,F,F,"[582, 96, 609, 121]","[60, 96, 150, 121]",S4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,18,2026-02-18,E,E,"[609, 96, 636, 121]","[60, 96, 150, 121]",T4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,19,2026-02-19,O,O,"[636, 96, 663, 121]","[60, 96, 150, 121]",U4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,20,2026-02-20,-,-,"[663, 96, 690, 121]","[60, 96, 150, 121]",V4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,21,2026-02-21,Off,OfF,"[690, 96, 717, 121]","[60, 96, 150, 121]",W4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,22,2026-02-22,OFF,off,"[717, 96, 744, 121]","[60, 96, 150, 121]",X4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,23,2026-02-23,E,E,"[744, 96, 771, 121]","[60, 96, 150, 121]",Y4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,24,2026-02-24,E,E,"[771, 96, 798, 121]","[60, 96, 150, 121]",Z4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,S0001_R001,1,방예은,방,55,128351,方|房,2007,female,1,25,2026-02-25,F,F,"[798, 96, 825, 121]","[60, 96, 150, 121]",AA4,images/schedule_0001_compact_summary.png
