schedule_id,template_id,page_number,page_count,page_label,sheet_name,row_id,row_index,excel_row,group,name,surname,surname_rank,surname_population,surname_hanja_variants,surname_source_method,surname_source_url,given_name,birth_year,gender,day_count,codes_canonical,codes_display,codes_canonical_joined,codes_display_joined,name_cell,image_path
schedule_0001,compact_summary,1,5,페이지 1/5,schedule_0001,SCHEDULE_0001_R001,1,4,1,김지영,김,1,10689959,金,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php,지영,1988,female,31,"[""MID"", ""RD"", ""P"", ""NB"", ""AO"", ""P"", ""N"", ""N"", ""O"", ""D"", ""E"", ""ADO"", ""E"", ""E"", ""D5"", ""F"", ""E"", ""O"", ""-"", ""Off"", ""OFF"", ""E"", ""E"", ""E"", ""OFF"", ""N"", ""OFF"", ""X"", ""D/E"", ""ADO"", ""ADO""]","[""mId"", ""rd"", ""p"", ""NB"", ""ao"", ""p"", ""n"", ""N"", ""O"", ""D"", ""E"", ""ADO"", ""E"", ""E"", ""d5"", ""F"", ""E"", ""O"", ""-"", ""OfF"", ""off"", ""E"", ""E"", ""E"", ""ofF"", ""N"", ""OFF"", ""X"", ""D/e"", ""ADO"", ""ado""]",MID|RD|P|NB|AO|P|N|N|O|D|E|ADO|E|E|D5|F|E|O|-|Off|OFF|E|E|E|OFF|N|OFF|X|D/E|ADO|ADO,mId|rd|p|NB|ao|p|n|N|O|D|E|ADO|E|E|d5|F|E|O|-|OfF|off|E|E|E|ofF|N|OFF|X|D/e|ADO|ado,B4,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,1,5,페이지 1/5,schedule_0001,SCHEDULE_0001_R002,2,5,2,이수민,이,2,7306828,李,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php,수민,2001,female,31,"[""LD"", ""Off"", ""N"", ""OFF"", ""D"", ""E"", ""F"", ""f"", ""F"", ""N"", ""N"", ""N"", ""F"", ""F"", ""N"", ""NO"", ""X"", ""E"", ""OFF"", ""D"", ""생"", ""C"", ""CH"", ""X"", ""MID"", ""DE"", ""-"", ""D/E"", ""CONF"", ""ER"", ""SD""]","[""ld"", ""OfF"", ""N"", ""oFf"", ""D"", ""E"", ""f"", ""f"", ""F"", ""N"", ""N"", ""N"", ""F"", ""F"", ""N"", ""no"", ""X"", ""E"", ""oFf"", ""d"", ""생"", ""C"", ""CH"", ""X"", ""Mid"", ""DE"", ""-"", ""D/E"", ""CONF"", ""ER"", ""Sd""]",LD|Off|N|OFF|D|E|F|f|F|N|N|N|F|F|N|NO|X|E|OFF|D|생|C|CH|X|MID|DE|-|D/E|CONF|ER|SD,ld|OfF|N|oFf|D|E|f|f|F|N|N|N|F|F|N|no|X|E|oFf|d|생|C|CH|X|Mid|DE|-|D/E|CONF|ER|Sd,B5,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,1,5,페이지 1/5,schedule_0001,SCHEDULE_0001_R003,3,6,3,최지현,최,4,2333927,崔,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php,지현,1985,female,31,"[""비번"", ""WO"", ""AM"", ""N"", ""D5"", ""DE"", ""NO"", ""DL"", ""PL"", ""OFF"", ""E"", ""OFF"", ""E"", ""D12"", ""TL"", ""DE"", ""M"", ""P"", ""LD"", ""M"", ""DE"", ""육"", ""-"", ""D/E"", ""DO"", ""A"", ""RO"", ""D5"", ""UN"", ""M"", ""OC""]","[""비번"", ""wo"", ""AM"", ""N"", ""D5"", ""De"", ""no"", ""Dl"", ""PL"", ""off"", ""E"", ""Off"", ""E"", ""d12"", ""TL"", ""DE"", ""m"", ""P"", ""LD"", ""M"", ""DE"", ""육"", ""-"", ""D/e"", ""DO"", ""a"", ""RO"", ""D5"", ""uN"", ""M"", ""OC""]",비번|WO|AM|N|D5|DE|NO|DL|PL|OFF|E|OFF|E|D12|TL|DE|M|P|LD|M|DE|육|-|D/E|DO|A|RO|D5|UN|M|OC,비번|wo|AM|N|D5|De|no|Dl|PL|off|E|Off|E|d12|TL|DE|m|P|LD|M|DE|육|-|D/e|DO|a|RO|D5|uN|M|OC,B6,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,1,5,페이지 1/5,schedule_0001,SCHEDULE_0001_R004,4,7,4,장지혜,장,9,1014229,張|蔣,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php,지혜,1991,female,31,"[""C"", ""OFF"", ""E"", ""O"", ""ADO"", ""E"", ""E"", ""T"", ""S"", ""N12"", ""M"", ""HELP"", ""OFF"", ""OFF"", ""E"", ""E"", ""PM"", ""D"", ""D"", ""NO"", ""AM"", ""PH"", ""A"", ""D/E"", ""DO"", ""N12"", ""S"", ""TRN"", ""S"", ""X"", ""EH""]","[""C"", ""OFF"", ""E"", ""O"", ""Ado"", ""E"", ""e"", ""T"", ""S"", ""n12"", ""M"", ""HELP"", ""OFF"", ""OFF"", ""E"", ""E"", ""PM"", ""D"", ""D"", ""NO"", ""Am"", ""PH"", ""A"", ""D/E"", ""DO"", ""n12"", ""S"", ""trn"", ""S"", ""X"", ""Eh""]",C|OFF|E|O|ADO|E|E|T|S|N12|M|HELP|OFF|OFF|E|E|PM|D|D|NO|AM|PH|A|D/E|DO|N12|S|TRN|S|X|EH,C|OFF|E|O|Ado|E|e|T|S|n12|M|HELP|OFF|OFF|E|E|PM|D|D|NO|Am|PH|A|D/E|DO|n12|S|trn|S|X|Eh,B7,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,1,5,페이지 1/5,schedule_0001,SCHEDULE_0001_R005,5,8,5,김민지,김,1,10689959,金,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php,민지,2002,female,31,"[""MID"", ""F"", ""MD"", ""P"", ""-"", ""P"", ""A/L"", ""off"", ""O"", ""D"", ""CONF"", ""DB"", ""MID"", ""DB"", ""D12"", ""N12"", ""N12"", ""NB"", ""OF"", ""A"", ""N12"", ""주"", ""H"", ""NO"", ""NB"", ""CSSD"", ""DB"", ""RO"", ""N"", ""D5"", ""교육""]","[""MID"", ""f"", ""MD"", ""P"", ""-"", ""P"", ""A/l"", ""off"", ""o"", ""D"", ""CONF"", ""DB"", ""MId"", ""db"", ""D12"", ""n12"", ""n12"", ""NB"", ""OF"", ""A"", ""N12"", ""주"", ""H"", ""NO"", ""NB"", ""CSSD"", ""db"", ""RO"", ""N"", ""D5"", ""교육""]",MID|F|MD|P|-|P|A/L|off|O|D|CONF|DB|MID|DB|D12|N12|N12|NB|OF|A|N12|주|H|NO|NB|CSSD|DB|RO|N|D5|교육,MID|f|MD|P|-|P|A/l|off|o|D|CONF|DB|MId|db|D12|n12|n12|NB|OF|A|N12|주|H|NO|NB|CSSD|db|RO|N|D5|교육,B8,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,1,5,페이지 1/5,schedule_0001,SCHEDULE_0001_R006,6,9,6,김수진,김,1,10689959,金,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php,수진,1989,female,31,"[""D5"", ""특"", ""M"", ""WO"", ""S"", ""TRN"", ""DE"", ""SEM"", ""ONC"", ""A"", ""DB"", ""-"", ""휴무"", ""특"", ""AO"", ""D12"", ""UPL"", ""ANL"", ""TL"", ""N"", ""F"", ""N"", ""F"", ""N"", ""OFF"", ""D"", ""OFF"", ""D"", ""LD"", ""M"", ""D/E""]","[""D5"", ""특"", ""M"", ""WO"", ""S"", ""TRN"", ""dE"", ""SEM"", ""ONC"", ""A"", ""DB"", ""-"", ""휴무"", ""특"", ""AO"", ""D12"", ""UPL"", ""aNL"", ""TL"", ""N"", ""f"", ""n"", ""F"", ""N"", ""OFF"", ""D"", ""OFF"", ""d"", ""lD"", ""M"", ""D/E""]",D5|특|M|WO|S|TRN|DE|SEM|ONC|A|DB|-|휴무|특|AO|D12|UPL|ANL|TL|N|F|N|F|N|OFF|D|OFF|D|LD|M|D/E,D5|특|M|WO|S|TRN|dE|SEM|ONC|A|DB|-|휴무|특|AO|D12|UPL|aNL|TL|N|f|n|F|N|OFF|D|OFF|d|lD|M|D/E,B9,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,1,5,페이지 1/5,schedule_0001,SCHEDULE_0001_R007,7,10,1,최성현,최,4,2333927,崔,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php,성현,1987,male,31,"[""LD"", ""D12"", ""D/E"", ""LD"", ""D5"", ""M"", ""MD"", ""DB"", ""E"", ""N"", ""D"", ""F"", ""D12"", ""D"", ""D"", ""OFF"", ""A"", ""SH"", ""D5"", ""PO"", ""N12"", ""-"", ""MD"", ""D/E"", ""PM"", ""MID"", ""M"", ""LD"", ""CH"", ""—"", ""WS""]","[""lD"", ""D12"", ""d/E"", ""LD"", ""D5"", ""M"", ""mD"", ""Db"", ""E"", ""n"", ""D"", ""F"", ""D12"", ""D"", ""D"", ""OFF"", ""A"", ""SH"", ""D5"", ""Po"", ""N12"", ""-"", ""mD"", ""D/E"", ""PM"", ""MID"", ""M"", ""LD"", ""CH"", ""—"", ""WS""]",LD|D12|D/E|LD|D5|M|MD|DB|E|N|D|F|D12|D|D|OFF|A|SH|D5|PO|N12|-|MD|D/E|PM|MID|M|LD|CH|—|WS,lD|D12|d/E|LD|D5|M|mD|Db|E|n|D|F|D12|D|D|OFF|A|SH|D5|Po|N12|-|mD|D/E|PM|MID|M|LD|CH|—|WS,B10,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,1,5,페이지 1/5,schedule_0001,SCHEDULE_0001_R008,8,11,2,홍지혜,홍,20,558853,洪,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php,지혜,1990,female,31,"[""MID"", ""DE"", ""D"", ""DE"", ""ON"", ""H"", ""S"", ""노"", ""지원"", ""CCL"", ""DN"", ""—"", ""E"", ""E"", ""F"", ""D"", ""F"", ""D"", ""N12"", ""NB"", ""EDU"", ""—"", ""AMH"", ""D"", ""O"", ""OFF"", ""OFF"", ""O"", ""OFF"", ""N"", ""N""]","[""MID"", ""De"", ""D"", ""DE"", ""On"", ""H"", ""S"", ""노"", ""지원"", ""CCL"", ""Dn"", ""—"", ""e"", ""E"", ""F"", ""D"", ""F"", ""D"", ""N12"", ""NB"", ""EDU"", ""—"", ""AMH"", ""D"", ""O"", ""off"", ""off"", ""O"", ""OFF"", ""N"", ""N""]",MID|DE|D|DE|ON|H|S|노|지원|CCL|DN|—|E|E|F|D|F|D|N12|NB|EDU|—|AMH|D|O|OFF|OFF|O|OFF|N|N,MID|De|D|DE|On|H|S|노|지원|CCL|Dn|—|e|E|F|D|F|D|N12|NB|EDU|—|AMH|D|O|off|off|O|OFF|N|N,B11,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,1,5,페이지 1/5,schedule_0001,SCHEDULE_0001_R009,9,12,3,서상현,서,13,751704,徐,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php,상현,1984,male,31,"[""AM"", ""-"", ""NA"", ""특별휴가"", ""EH"", ""출산"", ""S"", ""MID"", ""AM"", ""OF"", ""E"", ""F"", ""F"", ""E"", ""E"", ""N"", ""F"", ""E"", ""OT"", ""WO"", ""O"", ""OFF"", ""O"", ""O"", ""N"", ""N"", ""S"", ""DH"", ""NA"", ""WS"", ""WO""]","[""AM"", ""-"", ""NA"", ""특별휴가"", ""EH"", ""출산"", ""S"", ""MID"", ""AM"", ""OF"", ""E"", ""F"", ""f"", ""E"", ""E"", ""N"", ""F"", ""e"", ""ot"", ""WO"", ""O"", ""OFF"", ""O"", ""O"", ""n"", ""N"", ""S"", ""DH"", ""NA"", ""WS"", ""WO""]",AM|-|NA|특별휴가|EH|출산|S|MID|AM|OF|E|F|F|E|E|N|F|E|OT|WO|O|OFF|O|O|N|N|S|DH|NA|WS|WO,AM|-|NA|특별휴가|EH|출산|S|MID|AM|OF|E|F|f|E|E|N|F|e|ot|WO|O|OFF|O|O|n|N|S|DH|NA|WS|WO,B12,images/schedule_0001_compact_summary.png
schedule_0001,compact_summary,1,5,페이지 1/5,schedule_0001,SCHEDULE_0001_R010,10,13,4,박채원,박,3,4192074,朴,bundled_fallback_top100,https://www.rootsinfo.co.kr/info/roots/table_sung15.php,채원,2000,female,31,"[""D/E"", ""H⁺"", ""MAT"", ""연가"", ""DO"", ""PO"", ""V"", ""MAT"", ""LD"", ""D5"", ""MID"", ""NO"", ""E"", ""O"", ""OFF"", ""E"", ""PO"", ""-"", ""DL"", ""RD"", ""D5"", ""DB"", ""OF"", ""D"", ""O"", ""D"", ""E"", ""OFF"", ""N"", ""DB"", ""LD""]","[""D/E"", ""H⁺"", ""MAT"", ""연가"", ""Do"", ""PO"", ""V"", ""MAT"", ""LD"", ""D5"", ""MId"", ""nO"", ""E"", ""O"", ""oFF"", ""E"", ""PO"", ""-"", ""DL"", ""RD"", ""D5"", ""DB"", ""oF"", ""d"", ""O"", ""d"", ""E"", ""OFf"", ""n"", ""DB"", ""LD""]",D/E|H⁺|MAT|연가|DO|PO|V|MAT|LD|D5|MID|NO|E|O|OFF|E|PO|-|DL|RD|D5|DB|OF|D|O|D|E|OFF|N|DB|LD,D/E|H⁺|MAT|연가|Do|PO|V|MAT|LD|D5|MId|nO|E|O|oFF|E|PO|-|DL|RD|D5|DB|oF|d|O|d|E|OFf|n|DB|LD,B13,images/schedule_0001_compact_summary.png
